date,country,cumulative_total_cases,daily_new_cases,active_cases,cumulative_total_deaths,daily_new_deaths
2020-1-22,Algeria,0.0,0.0,0.0,0.0,0.0
2020-1-23,Algeria,0.0,0.0,0.0,0.0,0.0
2020-1-24,Algeria,0.0,0.0,0.0,0.0,0.0
2020-1-25,Algeria,0.0,0.0,0.0,0.0,0.0
2020-1-26,Algeria,0.0,0.0,0.0,0.0,0.0
2020-1-27,Algeria,0.0,0.0,0.0,0.0,0.0
2020-1-28,Algeria,0.0,0.0,0.0,0.0,0.0
2020-1-29,Algeria,0.0,0.0,0.0,0.0,0.0
2020-1-30,Algeria,0.0,0.0,0.0,0.0,0.0
2020-1-31,Algeria,0.0,0.0,0.0,0.0,0.0
2020-10-01,Algeria,51690.0,160.0,13667.0,1741.0,5.0
2020-10-02,Algeria,51847.0,157.0,13713.0,1749.0,8.0
2020-10-03,Algeria,51995.0,148.0,13757.0,1756.0,7.0
2020-10-04,Algeria,52136.0,141.0,13798.0,1760.0,4.0
2020-10-05,Algeria,52270.0,134.0,13830.0,1768.0,8.0
2020-10-06,Algeria,52399.0,129.0,13868.0,1768.0,0.0
2020-10-07,Algeria,52520.0,121.0,13892.0,1771.0,3.0
2020-10-08,Algeria,52658.0,138.0,13917.0,1783.0,12.0
2020-10-09,Algeria,52804.0,146.0,13948.0,1789.0,6.0
2020-10-10,Algeria,52940.0,136.0,13975.0,1795.0,6.0
2020-10-11,Algeria,53072.0,132.0,14101.0,1801.0,6.0
2020-10-12,Algeria,53225.0,153.0,14034.0,1809.0,8.0
2020-10-13,Algeria,53399.0,174.0,14089.0,1818.0,9.0
2020-10-14,Algeria,53584.0,185.0,14154.0,1827.0,9.0
2020-10-15,Algeria,53777.0,193.0,14347.0,1827.0,0.0
2020-10-16,Algeria,53998.0,221.0,14301.0,1841.0,14.0
2020-10-17,Algeria,54203.0,205.0,14386.0,1846.0,5.0
2020-10-18,Algeria,54402.0,199.0,14458.0,1856.0,10.0
2020-10-19,Algeria,54616.0,214.0,14536.0,1865.0,9.0
2020-10-20,Algeria,54829.0,213.0,14610.0,1873.0,8.0
2020-10-21,Algeria,55081.0,252.0,14719.0,1880.0,7.0
2020-10-22,Algeria,55357.0,276.0,14851.0,1888.0,8.0
2020-10-23,Algeria,55630.0,273.0,14945.0,1897.0,9.0
2020-10-24,Algeria,55880.0,250.0,15041.0,1907.0,10.0
2020-10-25,Algeria,56143.0,263.0,15134.0,1914.0,7.0
2020-10-26,Algeria,56419.0,276.0,15224.0,1922.0,8.0
2020-10-27,Algeria,56706.0,287.0,15331.0,1931.0,9.0
2020-10-28,Algeria,57026.0,320.0,15450.0,1941.0,10.0
2020-10-29,Algeria,57332.0,306.0,15748.0,1949.0,8.0
2020-10-30,Algeria,57651.0,319.0,15681.0,1956.0,7.0
2020-10-31,Algeria,57942.0,291.0,15777.0,1964.0,8.0
2020-11-01,Algeria,58272.0,330.0,15904.0,1973.0,9.0
2020-11-02,Algeria,58574.0,302.0,16017.0,1980.0,7.0
2020-11-03,Algeria,58979.0,405.0,16422.0,1980.0,0.0
2020-11-04,Algeria,59527.0,548.0,16527.0,1999.0,19.0
2020-11-05,Algeria,60169.0,642.0,16914.0,2011.0,12.0
2020-11-06,Algeria,60800.0,631.0,17266.0,2024.0,13.0
2020-11-07,Algeria,61381.0,581.0,17562.0,2036.0,12.0
