country,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines
Algeria,2020-12-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2020-12-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2020-12-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2020-12-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2020-12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2020-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2020-12-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2020-12-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2020-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2020-12-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2020-12-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2020-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2020-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2020-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2020-12-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2020-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2020-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2020-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2020-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-01-30,30.0,0.0,0.0,30.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-01-31,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-02-01,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-02-02,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-02-03,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-02-04,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-02-05,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Algeria,2021-02-06,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sputnik V
Andorra,2020-12-13,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2020-12-14,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2020-12-15,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2020-12-16,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2020-12-17,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2020-12-18,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2020-12-19,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2020-12-20,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2020-12-21,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2020-12-22,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2020-12-23,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2020-12-24,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2020-12-25,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2020-12-26,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2020-12-27,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2020-12-28,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2020-12-29,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2020-12-30,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2020-12-31,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-01,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-02,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-03,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-04,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-05,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-06,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-07,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-08,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-09,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-10,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-11,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-12,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-13,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-14,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-15,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-16,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-17,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-18,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-19,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-20,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-21,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-22,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-23,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-24,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-25,576.0,576.0,0.0,0.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-26,576.0,576.0,0.0,66.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-27,576.0,576.0,0.0,66.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-28,576.0,576.0,0.0,66.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-29,576.0,576.0,0.0,66.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-30,576.0,576.0,0.0,66.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2021-01-31,576.0,576.0,0.0,66.0,0.75,0.75,0.0,854.0,Pfizer/BioNTech
Andorra,2021-02-01,1036.0,1036.0,0.0,66.0,1.34,1.34,0.0,854.0,Pfizer/BioNTech
Andorra,2021-02-02,1036.0,1036.0,0.0,0.0,1.34,1.34,0.0,854.0,Pfizer/BioNTech
Andorra,2021-02-03,1036.0,1036.0,0.0,0.0,1.34,1.34,0.0,854.0,Pfizer/BioNTech
Andorra,2021-02-04,1036.0,1036.0,0.0,0.0,1.34,1.34,0.0,854.0,Pfizer/BioNTech
Andorra,2021-02-05,1036.0,1036.0,0.0,0.0,1.34,1.34,0.0,854.0,Pfizer/BioNTech
Andorra,2021-02-06,1036.0,1036.0,0.0,0.0,1.34,1.34,0.0,854.0,Pfizer/BioNTech
Argentina,2020-12-13,700.0,243539.0,4394.0,0.0,0.0,0.54,0.01,346.0,Sputnik V
Argentina,2020-12-14,700.0,243539.0,4394.0,0.0,0.0,0.54,0.01,346.0,Sputnik V
Argentina,2020-12-15,700.0,243539.0,4394.0,0.0,0.0,0.54,0.01,346.0,Sputnik V
Argentina,2020-12-16,700.0,243539.0,4394.0,0.0,0.0,0.54,0.01,346.0,Sputnik V
Argentina,2020-12-17,700.0,243539.0,4394.0,0.0,0.0,0.54,0.01,346.0,Sputnik V
Argentina,2020-12-18,700.0,243539.0,4394.0,0.0,0.0,0.54,0.01,346.0,Sputnik V
Argentina,2020-12-19,700.0,243539.0,4394.0,0.0,0.0,0.54,0.01,346.0,Sputnik V
Argentina,2020-12-20,700.0,243539.0,4394.0,0.0,0.0,0.54,0.01,346.0,Sputnik V
Argentina,2020-12-21,700.0,243539.0,4394.0,0.0,0.0,0.54,0.01,346.0,Sputnik V
Argentina,2020-12-22,700.0,243539.0,4394.0,0.0,0.0,0.54,0.01,346.0,Sputnik V
Argentina,2020-12-23,700.0,243539.0,4394.0,0.0,0.0,0.54,0.01,346.0,Sputnik V
Argentina,2020-12-24,700.0,243539.0,4394.0,0.0,0.0,0.54,0.01,346.0,Sputnik V
Argentina,2020-12-25,700.0,243539.0,4394.0,0.0,0.0,0.54,0.01,346.0,Sputnik V
Argentina,2020-12-26,700.0,243539.0,4394.0,0.0,0.0,0.54,0.01,346.0,Sputnik V
Argentina,2020-12-27,700.0,243539.0,4394.0,0.0,0.0,0.54,0.01,346.0,Sputnik V
Argentina,2020-12-28,700.0,243539.0,4394.0,0.0,0.0,0.54,0.01,346.0,Sputnik V
Argentina,2020-12-29,700.0,243539.0,4394.0,0.0,0.0,0.54,0.01,346.0,Sputnik V
